question_set,variant,n,route_change_rate,brier,delta_brier_vs_base,log_score,delta_log_vs_base
2025-08-17-llm,source_prior_minus_0.06,1215,0.19094650205761318,0.17923916690915756,-0.000576952046097895,0.5269450033793948,-0.0012110125163847796
2025-08-17-llm,source_prior_plus_0.06,1215,0.0,0.17981611895525546,0.0,0.5281560158957795,0.0
2025-08-17-llm,noisy_strength_minus_0.05,1215,0.0,0.17981611895525546,0.0,0.5281560158957795,0.0
2025-08-17-llm,noisy_strength_plus_0.05,1215,0.0,0.17981611895525546,0.0,0.5281560158957795,0.0
2025-08-17-llm,horizon_150,1215,0.08724279835390947,0.18058040438722556,0.000764285431970102,0.5299853104411903,0.001829294545410809
2025-08-17-llm,horizon_9999,1215,0.0,0.17981611895525546,0.0,0.5281560158957795,0.0
2025-08-17-llm,search_enabled_low,1215,0.09547325102880659,0.17907468606989907,-0.0007414328853563856,0.5266401516308411,-0.001515864264938438
2025-08-31-llm,base,1213,0.0,0.1710488579918181,0.0,0.5090791025162524,0.0
2025-08-31-llm,hist_coverage_minus_0.10,1213,0.19455894476504534,0.17313882088556393,0.002089962893745828,0.5132775925645927,0.004198490048340275
2025-08-31-llm,hist_coverage_plus_0.10,1213,0.0,0.1710488579918181,0.0,0.5090791025162524,0.0
2025-08-31-llm,market_sharpness_minus_0.05,1213,0.013190436933223413,0.17160420250103434,0.0005553445092162379,0.5111812655282109,0.0021021630119584245
2025-08-31-llm,market_sharpness_plus_0.05,1213,0.021434460016488046,0.17106241635911285,1.355836729474702e-05,0.5091207531906482,4.165067439576564e-05
2025-08-31-llm,prior_sharpness_minus_0.06,1213,0.0,0.1710488579918181,0.0,0.5090791025162524,0.0
2025-08-31-llm,prior_sharpness_plus_0.06,1213,0.0,0.1710488579918181,0.0,0.5090791025162524,0.0
2025-08-31-llm,source_prior_minus_0.06,1213,0.20115416323165705,0.17331276394498743,0.0022639059531693317,0.513659693885908,0.004580591369655607
2025-08-31-llm,source_prior_plus_0.06,1213,0.0,0.1710488579918181,0.0,0.5090791025162524,0.0
2025-08-31-llm,noisy_strength_minus_0.05,1213,0.0,0.1710488579918181,0.0,0.5090791025162524,0.0
2025-08-31-llm,noisy_strength_plus_0.05,1213,0.0,0.1710488579918181,0.0,0.5090791025162524,0.0
2025-08-31-llm,horizon_150,1213,0.08903544929925804,0.17156609219060207,0.0005172341987839668,0.5101244503706565,0.0010453478544040218
2025-08-31-llm,horizon_9999,1213,0.0,0.1710488579918181,0.0,0.5090791025162524,0.0
2025-08-31-llm,search_enabled_low,1213,0.10057708161582853,0.17181754933019036,0.0007686913383722627,0.5107096946125761,0.0016305920963236575
2025-10-26-llm,base,1077,0.0,0.1875965165388148,0.0,0.5460888546362489,0.0
2025-10-26-llm,hist_coverage_minus_0.10,1077,0.0,0.1875965165388148,0.0,0.5460888546362489,0.0
2025-10-26-llm,hist_coverage_plus_0.10,1077,0.0,0.1875965165388148,0.0,0.5460888546362489,0.0
2025-10-26-llm,market_sharpness_minus_0.05,1077,0.011142061281337047,0.18752810359289437,-6.841294592041525e-05,0.545553215741188,-0.0005356388950609192
2025-10-26-llm,market_sharpness_plus_0.05,1077,0.035283194057567316,0.1875961649307095,-3.516081052978848e-07,0.54599979337482,-8.906126142893545e-05
2025-10-26-llm,prior_sharpness_minus_0.06,1077,0.0,0.1875965165388148,0.0,0.5460888546362489,0.0
2025-10-26-llm,prior_sharpness_plus_0.06,1077,0.0,0.1875965165388148,0.0,0.5460888546362489,0.0
2025-10-26-llm,source_prior_minus_0.06,1077,0.0,0.1875965165388148,0.0,0.5460888546362489,0.0
2025-10-26-llm,source_prior_plus_0.06,1077,0.0,0.1875965165388148,0.0,0.5460888546362489,0.0
2025-10-26-llm,noisy_strength_minus_0.05,1077,0.1764159702878366,0.18512646539926705,-0.0024700511395477354,0.5406286704814589,-0.005460184154789993
2025-10-26-llm,noisy_strength_plus_0.05,1077,0.0,0.1875965165388148,0.0,0.5460888546362489,0.0
2025-10-26-llm,horizon_150,1077,0.13463324048282266,0.1910072358418763,0.003410719303061499,0.5531489010745179,0.007060046438268963
2025-10-26-llm,horizon_9999,1077,0.0,0.1875965165388148,0.0,0.5460888546362489,0.0
2025-10-26-llm,search_enabled_low,1077,0.0,0.1875965165388148,0.0,0.5460888546362489,0.0
2025-11-09-llm,base,1032,0.0,0.177313999258442,0.0,0.5193549843237196,0.0
2025-11-09-llm,hist_coverage_minus_0.10,1032,0.18992248062015504,0.18095658148818744,0.00364258222974545,0.5267813214039443,0.007426337080224665
